w : 0;202,16;341,6;-222,675
w : 1;194,08;341,63;-224,485
w : 2;191,423;341,71;-226,436
w : 3;189,54;341,639;-230,965
w : 4;198,72;341,76;-268,735
w : 5;108,27;341,6;-244,575
w : 6;191,117;341,7;-223,553
w : 7;189,199;341,711;-214,836
w : 8;178,99;341,685;-168,524
w : 11;171,87;342,702;-136,015
w : 12;169,618;342,954;-123,075
w : 13;171,87;342,954;-121,565
w : 14;173,476;342,954;-118,556
w : 15;173,62;342,852;-115,495
w : 16;174,33;342,954;-113,895
w : 17;176,8;342,954;-112,125
w : 18;187,79;342,65;-107,185
w : 19;229,64;341,6;-98,66499
w : 20;242,81;342,058;-96,795
w : 21;246,7;342,241;-97,20499
w : 22;249,79;342,335;-98,75499
w : 23;252;342,335;-101,425
w : 24;254,31;342,298;-105,165
w : 25;256,4;342,194;-110,785
w : 26;257,13;342,169;-113,625
w : 27;258,48;342,106;-116,425
w : 28;260,81;342,134;-118,135
w : 29;277,21;341,91;-124,045
w : 30;256,294;342,169;-115,959
w : 31;253,179;342,229;-118,578
w : 32;248,738;342,162;-122,835
w : 33;247,234;342,103;-126,474
w : 34;247,013;342,019;-131,507
w : 35;248,003;341,989;-135,92
w : 36;248,776;341,857;-140,402
w : 37;248,06;341,842;-143,355
w : 38;246,701;341,717;-145,432
w : 39;244,398;341,6;-147,733
w : 40;240,83;341,6;-149,345
w : 41;234,76;341,6;-151,015
w : 42;183,432;341,661;-161,589
w : 43;180,231;341,661;-162,181
w : 44;178,088;341,661;-161,585
w : 45;177,006;341,635;-159,565
w : 46;179,118;341,642;-166,394
w : 47;180,123;341,642;-165,431
w : 48;240,818;341,6;-153,034
w : 49;244,41;341,6;-151,625
w : 50;247,228;341,6;-149,677
w : 51;249,534;341,6;-147,513
w : 52;251,099;341,831;-144,742
w : 53;252,21;341,851;-141,128
w : 54;251,9;341,872;-137,422
w : 55;251,054;341,964;-133,901
w : 56;250,387;342,09;-130,949
w : 57;250,612;342,072;-126,898
w : 58;251,84;342,196;-123,965
w : 59;258,488;342,097;-118,496
w : 60;189,239;341,647;-213,03
w : 71;220,174;341,743;-218,175
w : 72;217,035;341,743;-218,978
w : 74;286,85;341,9601;-127,875
w : 75;307,595;341,863;-136,442
w : 76;309,152;341,863;-137,65
w : 77;309,126;341,863;-139,763
w : 78;305,481;341,863;-148,164
w : 79;292,16;341,705;-177,695
w : 80;289,724;341,813;-184,316
w : 81;288,79;341,94;-189,555
w : 82;288,3;341,94;-196,325
w : 83;288,391;341,956;-201,716
w : 84;287,785;341,956;-203,743
w : 85;285,712;341,956;-204,313
w : 86;282,649;341,956;-204,318
w : 87;278,32;341,956;-204,965
w : 88;269,66;341,956;-206,705
w : 89;258,45;341,956;-209,235
w : 90;227,08;341,83;-216,703
w : 91;223,671;341,73;-217,493
w : 92;224,712;341,73;-216,542
w : 93;223,935;341,634;-215,117
w : 94;223,181;341,634;-212,404
w : 95;222,16;341,634;-210,017
w : 96;220,779;341,589;-207,521
w : 97;218,853;341,589;-205,613
w : 98;216,55;341,589;-204,225
w : 99;213,878;341,589;-203,525
w : 100;211,184;341,665;-203,543
w : 101;208,123;341,78;-204,175
w : 102;192,234;341,665;-207,579
w : 103;189,72;341,665;-208,108
w : 104;188,002;341,665;-207,273
w : 105;187,051;341,677;-205,282
w : 108;185,485;341,677;-213,49
w : 109;187,96;341,677;-224,201
w : 110;187,663;341,677;-225,572
w : 111;186,276;341,677;-226,355
w : 112;188,987;341,671;-225,814
w : 113;191,068;341,671;-227,7
w : 114;194,487;341,695;-228,032
w : 115;197,479;341,695;-227,277
w : 116;220,55;341,695;-221,835
w : 117;228,18;341,695;-220,075
w : 121;259,01;341,71;-212,745
w : 122;267,57;341,71;-210,825
